cancer,M0_small->M0_large,M0_large->M1_large
coad,-0.36707603424070295,0.56110651656165
brca,-3.4179812646512326,-0.032574994616340974
luad,1.3351305819033215,-3.3972403863185168
esca,4.590497469864202,-1.6265264910570736
stad,6.53374398013401,0.17889738581765852
prad,-3.2063622887793812,1.8131149576803884
skcm,0.8558285908820535,1.6938915973396815
kirp,2.0242322512394573,2.2645836718062844
hnsc,-1.273566369588287,3.600342401925673
kirc,2.0560680907942,2.472536579124632
lusc,1.7251044529480397,0.567621356827398
lihc,1.4883107064245,-0.12515448783146904
thca,0.38290888226422015,5.209929248218209
tgct,1.3368544468617103,0.9773536706154877
blca,4.189903420873243,6.1628681565557395
