cancer,M0_small->M0_large,M0_large->M1_large
coad,4.859962384373719,2.8098631190873484
brca,-2.9885534563664042,0.06891221987335164
luad,-5.599794551745989,0.1687338953859432
esca,-3.1293030060418885,3.4583939835993966
stad,1.3374219299543046,-0.7793753780564717
prad,0.2553360477554121,0.621643172784345
skcm,-1.2272142233165664,0.2575003371181161
kirp,-2.6698515181250704,-2.6165530508115236
hnsc,-0.5511040492622789,-0.128911818479734
kirc,-2.5395866108189877,-7.393954276665308
lusc,-3.938856224217311,-1.684646209769089
lihc,-2.2580531900454277,3.3486196598317957
thca,-0.501840189682863,-0.2784741830121569
tgct,-1.8494111510800044,4.736197702658792
blca,2.8486785779077692,-3.649143736977883
