cancer,M0_small->M0_large,M0_large->M1_large
coad,-0.6551795617073835,5.357422656004503
luad,-1.650365730594961,5.831949903287152
esca,3.7647512909623027,-1.1357804451704172
stad,-0.9510194174449624,0.356046850655907
prad,,1.0614286806406843
kirp,4.857355894893717,1.7012037400521518
hnsc,5.8575322543338695,0.3199745569527739
kirc,-3.6118391723158982,1.847008667148552
lusc,1.3474859305945266,0.7085645373782273
lihc,-1.4051959458683345,-0.9398149801578944
tgct,-0.3086223697343202,0.19364023958601173
blca,0.1759347347943703,0.35920999305174584
