cancer,M0_small->M0_large,M0_large->M1_large
coad,-3.9752800885400323,-0.4095519803526665
brca,-0.22981377089617885,-0.8169451416252258
luad,1.2703689037085066,-2.2694962498858966
esca,,2.638677260246027
prad,1.8027660184820147,3.1368972344735404
skcm,0.37381667643973454,0.7227373654310755
kirp,0.7485432480335785,1.6089804839043003
hnsc,2.6023525458671815,3.1578543262513996
kirc,3.8368896039994675,4.261590536620392
lusc,1.816766364994528,0.7420408419515307
lihc,3.058756200383852,1.6244363705552287
thca,1.9588743723771014,0.15326910111187944
tgct,3.6862131723885905,0.5939062096063528
blca,-0.4749224988772808,2.8432835554958458
