cancer,M0_small->M0_large,M0_large->M1_large
coad,1.86996127598718,0.3042243910940246
brca,3.141222828734543,3.5745128738059586
luad,-3.72382230678334,-3.014196452305447
prad,-1.946150029923421,1.1645467691596831
skcm,-0.25443402619828104,1.4977835945367808
kirp,-0.29421449732583943,0.5110739838670884
hnsc,4.624989164850191,-0.037459066381592195
kirc,4.0141807937675775,4.8235843238591345
lusc,1.999791405667526,-2.1616070162125083
lihc,-0.0021498868292756925,2.9105715501013947
thca,0.06471810207396318,-0.10679304961515343
tgct,1.7721019233266153,-0.4951236228152331
blca,-1.069185115949967,-0.20381919440331647
