cancer,M0_small->M0_large,M0_large->M1_large
coad,-1.5407447566853858,3.979052299954417
brca,1.497014488057373,3.6444956427406585
luad,-3.6105500105161656,-2.884982277598571
prad,-1.4224731348620525,0.729988329108189
skcm,3.572879457329475,4.767395828193218
kirp,-2.7719760634602415,4.480473030912958
hnsc,0.6960992875661393,-0.5743142390651279
kirc,2.0411833497488923,6.959484972178517
lusc,6.143714156949687,-2.0008276242957024
lihc,2.3305500100074346,1.4937673983767048
thca,-1.9632858037556682,1.3805337945111966
tgct,0.9705468710719282,2.7885634625325597
blca,4.076668592138482,-0.9300273801518238
