cancer,M0_small->M0_large,M0_large->M1_large
coad,-2.51988132229336,-1.2079926119003594
brca,-2.613932547118007,-0.25261543927637103
luad,-0.4342766026060182,-1.1502974674242512
esca,0.3301041249257454,-1.4187031635739893
stad,4.995139190588042,-0.3342158102098286
prad,-1.8131776337373338,-3.319035244106623
skcm,3.2811625156292883,-2.192662661697122
kirp,0.7339044503549825,5.063735894782264
hnsc,-4.515724849804355,0.12064854057965664
kirc,0.10750806691864977,0.6761931662078472
lusc,0.03716013607167864,-1.4757820622799998
lihc,1.0574571200396592,2.3299514520514206
thca,-0.07374776814647781,-2.3155049631255324
tgct,1.1560714334296724,2.0954369874364662
blca,2.1056336901326658,4.6614411436956065
