cancer,M0_small->M0_large,M0_large->M1_large
coad,3.2977906390277005,6.051114869360906
brca,3.919327625223607,0.14400979182582743
luad,2.88362000004426,-2.581233068739026
esca,3.106026911118026,-2.4728915179298236
stad,2.178832950904801,5.552865517917275
prad,0.27450869826103375,4.069476556535241
skcm,0.2921341072714522,-0.6415816520196862
kirp,4.980544193082667,0.298300488247666
hnsc,0.9551246091546802,3.5869787065106618
kirc,5.2785850984535205,7.044359763910922
lusc,0.061531654641956327,-1.9908493648529346
lihc,1.4565287805144769,-0.019006298264982527
tgct,0.40225044980542296,-0.24242068674065884
blca,-2.5182108693761984,2.5589803365501176
