cancer,M0_small->M0_large,M0_large->M1_large
coad,-0.3321043352904,2.0331184027585487
brca,-1.6856335673377243,0.12774732800745045
luad,0.6314726515818018,-1.0457743117936469
esca,3.385672726967866,-3.310762571060254
stad,5.239469066034268,0.3525548022902407
prad,0.5295148555242675,2.565651214374642
skcm,1.9508618440178243,2.7111741731504253
kirp,2.9339029533206076,1.658443816341066
hnsc,-1.705037737728544,4.726909691733086
kirc,0.3307341894140496,1.4648818432643809
lusc,1.1267005977404712,2.644674632359887
lihc,0.39276923382188844,-0.34647520618714245
thca,1.94994627679382,3.9878736762957967
tgct,1.2515110969056507,1.0452241099862265
blca,2.6780429073439924,6.485490763705607
