cancer,M0_small->M0_large,M0_large->M1_large
coad,-0.9206645924815263,0.2965211152396571
brca,0.26010553044826834,-1.7675575663768803
luad,3.002632958497072,-1.3598725306209098
esca,-0.2122318378805222,0.12863360623583103
stad,0.31156177011359243,0.5318984763814772
prad,-0.23124030482513264,1.3964978530867873
skcm,0.33641463891749757,-0.416373709428966
kirp,1.3924496089566318,-3.9884593145785323
hnsc,-3.0321411065454775,2.1148164822823046
kirc,-4.0690265328551725,-3.9717482478815205
lusc,1.5757366111511801,3.820382416055655
lihc,-0.6817626409981666,-1.9580259835514497
thca,0.8918881998010203,-2.7155409211032078
tgct,0.7626427603125943,-0.7922086535960283
blca,-0.15251060733767058,0.6309954353483166
