cancer,M0_small->M0_large,M0_large->M1_large
coad,-1.2289653719920517,0.48566104255740383
brca,5.429560459911198,0.5760979691875757
luad,1.1949438589888612,-1.280835326352352
esca,-1.9830711343718752,3.482902648386767
stad,0.2179436585838659,-0.620519875969794
prad,2.294561887124843,1.6351126975229413
skcm,0.13275675014598942,-0.9693699911670225
kirp,4.010850680877505,5.140198286743206
hnsc,0.8502738421622907,2.2795155036399155
kirc,1.9311752659008339,2.5660611085243605
lusc,0.13300608388001,0.6067177482415372
lihc,3.197291450658791,2.05638319560674
tgct,0.7886081586614728,-1.531152391909327
blca,3.4777172256188935,2.161952899763013
