cancer,M0_small->M0_large,M0_large->M1_large
coad,-0.7253489017063823,-0.6522306009704518
luad,-3.556638278378779,-0.2573525148247591
esca,-7.72072875265548,6.447399286692578
stad,-1.7350841260904957,-0.07026532223947522
prad,0.553739054650229,2.8916480873296226
kirp,,2.05075818840169
hnsc,0.9693007623098006,-0.30953180133670155
kirc,1.6281537302457885,0.318017642412676
lusc,-5.192824523499708,3.697586309809499
lihc,-3.104854812390789,0.9816544532259796
thca,-2.505753007122103,-1.5319781347155805
tgct,-0.5468910016510816,4.031756418921083
blca,,-0.5809734185303008
