cancer,M0_small->M0_large,M0_large->M1_large
coad,0.9752596046313906,-0.9562335656886334
brca,-2.094372485749277,-2.6499692879149825
luad,1.299061037685067,0.2986914284908295
esca,5.4772717847335874,-4.412208920077913
stad,-1.6758684107167978,-0.35001349361483114
prad,-1.586606978362107,-3.0044638171828386
skcm,5.525327777662016,-2.064508526345177
kirp,0.4311962913456944,-1.310574079258863
hnsc,-3.0984809954572285,-1.2995435886970068
kirc,-0.17869496475195878,0.11532386831022866
lusc,2.43163987951885,1.0850730887154116
lihc,0.35140461549496327,3.842577582794968
thca,0.21091014727717838,0.5960086154382489
tgct,,0.19997585791484906
blca,-2.4952050480547103,-2.86108946134041
