cancer,M0_small->M0_large,M0_large->M1_large
coad,-0.48344251695344165,3.6465764584498928
brca,-0.1303841110309525,3.3436723540863325
luad,0.8977504229819985,5.474972700953525
esca,2.6144617662807805,0.01613059209526695
stad,0.7632459178608116,-1.3909406832440965
prad,-2.573131702734876,-0.9716865122924038
skcm,-3.5584039056660455,2.8811838711641435
kirp,1.373182525625767,-3.764124559515652
hnsc,-0.3161044308871376,2.551190869438608
kirc,-2.4487389378606768,-0.6920688580819035
lusc,0.5613383344182572,-3.4045154131330233
lihc,0.31694643779861637,-1.422236909854876
thca,1.7323900842334432,1.2802758478882936
tgct,-3.8121847717402133,-0.23645064786618583
blca,-2.577457347647638,-0.17907927772909535
